name,franch_id,year_id,lg_id,div_id,rank,g,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,x2b,x3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,i_pouts,ha,hra,bba,soa,e,dp,fp,attendance
New York Mets,NYM,2017,NL,E,4,162,70,92,N,N,N,N,735,5510,1379,286,28,224,529,1291,58,23,57,37,863,799,5.01,2,5,34,4304,1538,220,593,1374,92,125,0.984,2460622
Oakland Athletics,OAK,2017,AL,W,5,162,75,87,N,N,N,N,739,5464,1344,305,15,234,565,1491,57,22,43,40,826,743,4.67,1,6,35,4293,1444,210,502,1202,121,162,0.98,1475721
Philadelphia Phillies,PHI,2017,NL,E,5,162,66,96,N,N,N,N,690,5535,1382,287,36,174,494,1417,59,25,47,36,782,729,4.55,1,7,33,4323,1471,221,527,1309,82,145,0.986,1905354
Pittsburgh Pirates,PIT,2017,NL,C,4,162,75,87,N,N,N,N,668,5458,1331,249,36,151,519,1213,67,36,88,28,731,676,4.22,2,12,36,4322,1464,182,511,1262,99,156,0.984,1919447
San Diego Padres,SDP,2017,NL,W,4,162,71,91,N,N,N,N,604,5356,1251,227,31,189,460,1499,89,33,53,33,816,742,4.67,2,12,45,4292,1417,226,554,1325,113,177,0.981,2138491
Seattle Mariners,SEA,2017,AL,W,3,162,78,84,N,N,N,N,750,5551,1436,281,17,200,487,1267,89,35,78,35,772,713,4.46,1,9,39,4321,1399,237,490,1244,103,147,0.982,2135445
San Francisco Giants,SFG,2017,NL,W,5,162,64,98,N,N,N,N,639,5551,1382,290,28,128,467,1204,76,34,36,52,776,726,4.5,3,5,32,4356,1515,182,496,1234,87,127,0.985,3303652
St. Louis Cardinals,STL,2017,NL,C,3,162,83,79,N,N,N,N,761,5470,1402,284,28,196,593,1348,81,31,65,44,705,646,4.01,3,12,43,4351,1393,183,493,1351,94,164,0.984,3447937
Tampa Bay Rays,TBD,2017,AL,E,3,162,80,82,N,N,N,N,694,5478,1340,226,32,228,545,1538,88,34,55,48,704,638,3.97,0,9,53,4335,1324,193,503,1352,100,129,0.983,1253619
Texas Rangers,TEX,2017,AL,W,4,162,78,84,N,N,N,N,799,5430,1326,255,21,237,544,1493,113,44,81,39,816,742,4.66,2,6,29,4303,1443,214,559,1107,108,173,0.982,2507760
Toronto Blue Jays,TOR,2017,AL,E,4,162,76,86,N,N,N,N,693,5499,1320,269,5,222,542,1327,53,24,51,35,784,720,4.42,2,6,45,4395,1460,203,549,1372,92,145,0.985,3203886
Washington Nationals,WSN,2017,NL,E,1,162,97,65,Y,N,N,N,819,5553,1477,311,31,215,542,1327,108,30,31,45,672,623,3.88,3,5,46,4340,1300,189,495,1457,86,139,0.985,2524980
Arizona Diamondbacks,ARI,2018,NL,W,3,162,82,80,N,N,N,N,693,5460,1283,259,50,176,560,1460,79,25,52,45,644,605,3.72,2,9,39,4389,1313,174,522,1448,75,152,0.988,2242695
Atlanta Braves,ATL,2018,NL,E,1,162,90,72,Y,N,N,N,759,5582,1433,314,29,175,511,1290,90,36,66,43,657,607,3.75,2,11,40,4370,1236,153,635,1423,80,134,0.986,2555781
